Name,Runs,Wickets,Balls Faced,Average,Strike Rate,wSR,wRC,wRC+,Runs Against,Wickets Taken,Balls Bowled,Bowling Average,Strike Rate Against,wSR Against,cAA,cAA+,,,,,,,,,
Mosaddek Hossain,142,9,138,15.78,103,-35,134,72,140,4,100,35,140,0.17,35.53,92,,,,,,,,,
MS Dhoni,2191,64,1694,34.23,129,8,2359,104,0,0,0,-,-,-,-,-,,,,,,,,,
Mubasir Khan,36,3,33,12,109,-44,29,65,58,1,48,58,121,0.1,34,96,,,,,,,,,
Muhammad Akhlaq,46,6,39,7.67,118,-72,23,44,0,0,0,-,-,-,-,-,,,,,,,,,
Muhammad Faizan,23,4,40,5.75,57,-98,13,25,71,3,42,23.67,169,0.27,38.5,85,,,,,,,,,
Muhammad Musa,59,2,51,29.5,116,-4,65,95,576,21,389,27.43,148,0.17,36.76,89,,,,,,,,,
Mujeeb Ur Rahman,99,17,101,5.82,98,-101,30,22,2474,103,2341,24.02,106,-0.18,28.63,114,,,,,,,,,
Mukesh Choudhary,6,0,6,-,100,4,8,101,406,16,273,25.38,149,0.15,36.78,89,,,,,,,,,
Munaf Patel,0,1,1,0,0,-703,-6,-426,57,1,42,57,136,0.22,36.92,88,,,,,,,,,
Munim Shahriar,21,2,28,10.5,75,-63,19,51,0,0,0,-,-,-,-,-,,,,,,,,,
Murali Vijay,108,6,114,18,95,-34,111,72,0,0,0,-,-,-,-,-,,,,,,,,,
Murugan Ashwin,35,7,49,5,71,-112,10,15,844,28,675,30.14,125,0.01,32.73,100,,,,,,,,,
Mushfiqur Rahim,715,30,592,23.83,121,-8,729,92,0,0,0,-,-,-,-,-,,,,,,,,,
Mustafizur Rahman,59,12,97,4.92,61,-109,21,16,2169,95,1699,22.83,128,-0.05,31.77,103,,,,,,,,,
MVT Fernando,2,1,2,2,100,-305,-3,-130,16,0,12,-,133,0.36,40.27,81,,,,,,,,,
MW Edwards,0,0,0,-,-,-,-,-,64,1,42,64,152,0.4,41.62,78,,,,,,,,,
MW Hay,13,1,14,13,93,-47,12,63,0,0,0,-,-,-,-,-,,,,,,,,,
MW Snedden,0,0,0,-,-,-,-,-,34,1,24,34,142,0.18,37.8,86,,,,,,,,,
N Dickwella,391,20,317,19.55,123,-13,377,89,0,0,0,-,-,-,-,-,,,,,,,,,
N Madziva,24,2,26,12,92,-52,21,59,48,0,30,-,160,0.6,47.67,68,,,,,,,,,
N Pradeep,10,0,14,-,71,-24,15,80,348,15,239,23.2,146,0.09,35.18,93,,,,,,,,,
N Thushara,0,0,0,-,-,-,-,-,48,1,31,48,155,0.37,41.92,78,,,,,,,,,
NA Greenwood,23,2,23,11.5,100,-50,19,61,0,0,0,-,-,-,-,-,,,,,,,,,
NA Rock,27,3,31,9,87,-69,19,46,0,0,0,-,-,-,-,-,,,,,,,,,
Nabi Gul,9,1,12,9,75,-74,7,43,4,0,5,-,80,-0.18,27.16,120,,,,,,,,,
Najeeb Tarakai,103,5,91,20.6,113,-18,104,85,0,0,0,-,-,-,-,-,,,,,,,,,
Najibullah Zadran,638,23,506,27.74,126,0,667,98,0,0,0,-,-,-,-,-,,,,,,,,,
Naman Ojha,64,4,53,16,121,-24,57,80,0,0,0,-,-,-,-,-,,,,,,,,,
Narayan Jagadeesan,73,3,66,24.33,111,-15,77,87,0,0,0,-,-,-,-,-,,,,,,,,,
Naseem Shah,26,4,30,6.5,87,-90,12,31,594,24,445,24.75,133,0.03,34.02,96,,,,,,,,,
Nasir Nawaz,17,2,22,8.5,77,-76,12,41,0,0,0,-,-,-,-,-,,,,,,,,,
Nasum Ahmed,32,2,35,16,91,-40,32,68,356,26,351,13.69,101,-0.41,22.18,147,,,,,,,,,
Nathan Buck,92,7,80,13.14,115,-36,76,71,908,30,604,30.27,150,0.21,37.52,87,,,,,,,,,
Nathan Coulter-Nile,288,25,212,11.52,136,-34,206,72,1731,78,1357,22.19,128,-0.06,31.11,105,,,,,,,,,
Nathan Ellis,191,22,176,8.68,109,-67,114,48,1514,79,1220,19.16,124,-0.14,29.37,111,,,,,,,,,
Nathan Lyon,27,3,30,9,90,-69,19,46,480,21,414,22.86,116,-0.13,28.68,114,,,,,,,,,
Nathan McAndrew,115,5,75,23,153,13,109,108,850,30,580,28.33,147,0.16,36.98,88,,,,,,,,,
Nathan McSweeney,42,4,46,10.5,91,-58,34,54,12,0,12,-,100,0.03,32.23,101,,,,,,,,,
Nathan Reardon,45,3,34,15,132,-20,38,83,0,0,0,-,-,-,-,-,,,,,,,,,
Nathan Rimmington,44,5,42,8.8,105,-69,26,47,976,54,721,18.07,135,-0.09,30.47,107,,,,,,,,,
Nathan Smith,141,13,119,10.85,118,-47,101,63,660,31,446,21.29,148,0.07,34.17,95,,,,,,,,,
Nathan Sowter,137,16,127,8.56,108,-67,81,48,1569,65,1212,24.14,129,-0.02,31.84,102,,,,,,,,,
Nauman Ali,5,2,7,2.5,71,-201,-5,-52,85,2,66,42.5,129,0.13,35.36,92,,,,,,,,,
Navdeep Saini,45,4,47,11.25,96,-53,37,58,1039,36,795,28.86,131,0.06,34.16,95,,,,,,,,,
Naveen-ul-Haq,61,12,56,5.08,109,-122,5,7,1067,63,828,16.94,129,-0.16,29.21,112,,,,,,,,,
Nawroz Mangal,17,0,8,-,212,112,19,181,0,0,0,-,-,-,-,-,,,,,,,,,
Nazmul Hossain Shanto,68,5,70,13.6,97,-44,62,66,1,0,6,-,17,-0.76,21.37,153,,,,,,,,,
Nazmul Islam,11,0,8,-,138,37,13,126,234,8,216,29.25,108,-0.12,29.25,111,,,,,,,,,
NB Singh,0,0,0,-,-,-,-,-,14,1,24,14,58,-0.61,17.84,183,,,,,,,,,
Ned Eckersley,482,26,396,18.54,122,-18,451,85,0,0,0,-,-,-,-,-,,,,,,,,,
Neil Broom,970,38,743,25.53,131,1,986,99,0,0,0,-,-,-,-,-,,,,,,,,,
Neil Dexter,314,16,234,19.62,134,-5,296,94,119,2,84,59.5,142,0.28,38.28,85,,,,,,,,,
Neil Wagner,66,5,44,13.2,150,-21,49,82,359,11,223,32.64,161,0.33,41.04,79,,,,,,,,,
Nic Maddinson,1074,54,898,19.89,120,-15,1046,87,229,13,186,17.62,123,-0.19,27.54,118,,,,,,,,,
Nicholas Bertus,19,2,22,9.5,86,-68,14,47,0,0,0,-,-,-,-,-,,,,,,,,,
Nicholas Pooran,2275,79,1593,28.8,143,14,2320,108,0,0,0,-,-,-,-,-,,,,,,,,,
Nicholas Selman,498,20,381,24.9,131,0,503,98,0,0,0,-,-,-,-,-,,,,,,,,,
Nick Buchanan,8,1,4,8,200,-54,3,58,88,4,54,22,163,0.19,37.82,86,,,,,,,,,
