Name,Runs,Wickets,Balls Faced,Average,Strike Rate,wSR,wRC,wRC+,Runs Against,Wickets Taken,Balls Bowled,Bowling Average,Strike Rate Against,wSR Against,cAA,cAA+,,,,,,,,,
Rachin Ravindra,365,23,301,15.87,121,-23,326,81,729,28,618,26.04,118,-0.08,30.17,108,,,,,,,,,
Rafatullah Mohmand,46,3,37,15.33,124,-23,40,81,0,0,0,-,-,-,-,-,,,,,,,,,
Rahat Ali,3,2,11,1.5,27,-178,-5,-34,678,32,560,21.19,121,-0.12,29.8,109,,,,,,,,,
Rahmanullah Gurbaz,597,24,407,24.88,147,12,586,107,0,0,0,-,-,-,-,-,,,,,,,,,
Rahul Chahar,113,14,105,8.07,108,-72,62,44,1577,65,1288,24.26,122,-0.07,30.66,106,,,,,,,,,
Rahul Tewatia,722,30,552,24.07,131,-1,721,97,956,29,734,32.97,130,0.07,33.99,96,,,,,,,,,
Rahul Tripathi,1765,62,1254,28.47,141,12,1801,107,12,0,6,-,200,0.99,55.4,59,,,,,,,,,
Raja Farzan,0,0,0,-,-,-,-,-,29,2,36,14.5,81,-0.49,23.83,137,,,,,,,,,
Rajat Bhatia,16,1,17,16,94,-39,16,69,53,2,42,26.5,126,-0.02,32.11,102,,,,,,,,,
Rajat Patidar,403,10,279,40.3,144,24,433,116,0,0,0,-,-,-,-,-,,,,,,,,,
Ramandeep Singh,45,2,39,22.5,115,-14,46,87,49,6,36,8.17,136,-0.64,19.55,167,,,,,,,,,
Rameez Raja,40,4,33,10,121,-51,26,60,0,0,0,-,-,-,-,-,,,,,,,,,
Rashid Khan,1049,86,703,12.2,149,-25,751,80,5553,328,5339,16.93,104,-0.31,24.68,132,,,,,,,,,
Rasikh Salam,12,1,10,12,120,-38,9,69,65,0,48,-,135,0.37,42.01,78,,,,,,,,,
Rassie van der Dussen,951,26,735,36.58,129,9,1032,105,0,0,0,-,-,-,-,-,,,,,,,,,
Ravi Bishnoi,8,2,17,4,47,-119,2,9,1120,45,942,24.89,119,-0.08,30.86,106,,,,,,,,,
Ravi Bopara,1869,74,1473,25.26,127,-3,1896,96,1482,55,1151,26.95,129,0.01,32.65,100,,,,,,,,,
Ravi Patel,12,1,10,12,120,-38,9,70,182,5,126,36.4,144,0.21,37.11,88,,,,,,,,,
Ravi Rampaul,26,4,31,6.5,84,-90,13,31,887,45,699,19.71,127,-0.11,29.77,110,,,,,,,,,
Ravichandran Ashwin,426,27,316,15.78,135,-17,361,85,2031,68,1682,29.87,121,-0.03,31.82,102,,,,,,,,,
Ravindra Jadeja,1127,31,801,36.35,141,18,1194,111,2210,68,1787,32.5,124,0.02,32.45,100,,,,,,,,,
Rayad Emrit,23,3,36,7.67,64,-86,17,34,181,8,120,22.62,151,0.11,35.3,92,,,,,,,,,
Raza Hasan,4,2,12,2,33,-163,-4,-23,47,0,30,-,157,0.57,45.36,72,,,,,,,,,
RD Harrison,0,0,0,-,-,-,-,-,4,0,1,-,400,2.98,127.16,26,,,,,,,,,
Reece Topley,45,2,47,22.5,96,-27,49,77,1299,66,988,19.68,131,-0.07,30.79,106,,,,,,,,,
Rehan Ahmed,66,8,60,8.25,110,-70,37,46,382,19,313,20.11,122,-0.14,28.38,115,,,,,,,,,
RH McDonald,0,0,0,-,-,-,-,-,20,1,12,20,167,0.16,37.43,87,,,,,,,,,
Ricardo Vasconcelos,491,21,427,23.38,115,-13,508,89,0,0,0,-,-,-,-,-,,,,,,,,,
Richard Gleeson,19,3,28,6.33,68,-93,11,29,1329,64,1014,20.77,131,-0.05,32.2,101,,,,,,,,,
Richard Levi,839,33,587,25.42,143,11,835,106,0,0,0,-,-,-,-,-,,,,,,,,,
Ricky Bhui,7,2,17,3.5,41,-125,1,5,0,0,0,-,-,-,-,-,,,,,,,,,
Riki Wessels,1678,59,1218,28.44,138,10,1725,105,0,0,0,-,-,-,-,-,,,,,,,,,
Rikki Clarke,335,13,237,25.77,141,9,333,105,633,27,477,23.44,133,0,32.06,102,,,,,,,,,
Rilee Rossouw,2644,91,1794,29.05,147,17,2672,111,9,1,10,9,90,-0.68,15.27,214,,,,,,,,,
Riley Meredith,23,6,24,3.83,96,-155,-6,-17,1656,79,1298,20.96,128,-0.07,31.88,102,,,,,,,,,
Rinku Singh,251,12,193,20.92,130,-6,242,93,0,0,0,-,-,-,-,-,,,,,,,,,
Ripal Vinubhai Patel,31,2,30,15.5,103,-34,29,73,20,0,18,-,111,0.13,37.33,87,,,,,,,,,
Rishabh Pant,3191,104,2233,30.68,143,16,3286,110,0,0,0,-,-,-,-,-,,,,,,,,,
Rishi Dhawan,37,2,40,18.5,93,-33,39,73,151,6,114,25.17,132,0.01,32.95,99,,,,,,,,,
Rishi Patel,403,24,322,16.79,125,-19,364,84,0,0,0,-,-,-,-,-,,,,,,,,,
Riyan Parag,522,29,417,18,125,-16,483,86,264,4,151,66,175,0.58,46.47,70,,,,,,,,,
Rizwan Hussain,70,6,69,11.67,101,-49,57,62,0,0,0,-,-,-,-,-,,,,,,,,,
RL Chase,64,6,73,10.67,88,-59,53,54,81,6,86,13.5,94,-0.45,21.24,153,,,,,,,,,
Rob Jones,265,7,225,37.86,118,0,296,98,8,0,6,-,133,0.31,46.94,69,,,,,,,,,
Rob Keogh,779,26,661,29.96,118,-5,837,94,329,15,240,21.93,137,0,32.47,100,,,,,,,,,
Rob Nicol,229,7,188,32.71,122,2,250,99,135,1,78,135,173,0.65,48.06,68,,,,,,,,,
Rob Quiney,224,9,152,24.89,147,13,220,108,0,0,0,-,-,-,-,-,,,,,,,,,
Robbie White,11,1,11,11,100,-53,9,58,0,0,0,-,-,-,-,-,,,,,,,,,
Robert O'Donnell,835,26,624,32.12,134,10,880,105,43,1,30,43,143,0.23,38.79,84,,,,,,,,,
Robert Yates,252,15,184,16.8,137,-11,223,90,64,1,48,64,133,0.21,37.57,87,,,,,,,,,
Robin Das,45,3,35,15,129,-21,39,82,0,0,0,-,-,-,-,-,,,,,,,,,
Robin Uthappa,1527,62,1138,24.63,134,3,1531,100,0,0,0,-,-,-,-,-,,,,,,,,,
Roelof van der Merwe,470,23,338,20.43,139,-2,439,97,1739,67,1350,25.96,129,-0.01,32,102,,,,,,,,,
Rohail Nazir,128,8,102,16,125,-20,114,83,0,0,0,-,-,-,-,-,,,,,,,,,
Rohit Sharma,3746,134,2760,27.96,136,8,3851,104,13,0,7,-,186,0.85,51.99,63,,,,,,,,,
Roman Walker,28,5,28,5.6,100,-106,7,19,351,17,251,20.65,140,0,34.36,95,,,,,,,,,
Ronnie Hira,134,8,101,16.75,133,-15,118,87,685,35,528,19.57,130,-0.1,29.85,109,,,,,,,,,
Rory Burns,439,23,366,19.09,120,-16,421,86,0,0,0,-,-,-,-,-,,,,,,,,,
Rory Kleinveldt,124,10,77,12.4,161,-18,88,85,552,23,370,24,149,0.12,35.78,91,,,,,,,,,
Ross Taylor,738,29,572,25.45,129,-1,745,97,0,0,0,-,-,-,-,-,,,,,,,,,
Ross ter Braak,2,1,2,2,100,-305,-3,-130,234,12,174,19.5,134,-0.05,31.78,103,,,,,,,,,
Ross Whiteley,1358,66,989,20.58,137,-2,1279,96,55,0,24,-,229,1.27,65.1,50,,,,,,,,,
Rovman Powell,864,38,606,22.74,143,5,830,102,147,4,96,36.75,153,0.28,38.52,85,,,,,,,,,
RP Burl,366,14,332,26.14,110,-13,392,88,308,12,258,25.67,119,-0.07,30.46,107,,,,,,,,,
RR Hendricks,843,30,685,28.1,123,-2,890,97,21,0,6,-,350,2.44,90.08,36,,,,,,,,,
RTM Mendis,2,1,5,2,40,-177,-2,-34,21,1,24,21,88,-0.35,24.22,135,,,,,,,,,
Ruaidhri Smith,52,6,44,8.67,118,-62,30,51,565,21,450,26.9,126,-0.01,32.13,101,,,,,,,,,
Rubel Hossain,7,3,13,2.33,54,-183,-7,-39,508,21,331,24.19,153,0.16,36.79,89,,,,,,,,,
Rumman Raees,19,3,28,6.33,68,-92,11,29,831,41,658,20.27,126,-0.1,30.3,108,,,,,,,,,
Ruturaj Gaikwad,1242,35,956,35.49,130,9,1347,105,0,0,0,-,-,-,-,-,,,,,,,,,
RW Chakabva,276,14,187,19.71,148,2,249,99,0,0,0,-,-,-,-,-,,,,,,,,,
Ryan Davies,136,8,93,17,146,-5,117,94,0,0,0,-,-,-,-,-,,,,,,,,,
Ryan Gibson,142,10,132,14.2,108,-36,126,71,10,0,6,-,167,0.65,47.25,69,,,,,,,,,
Ryan Higgins,945,39,690,24.23,137,3,931,101,1243,62,823,20.05,151,0.05,34.02,96,,,,,,,,,
Ryan McCone,13,2,15,6.5,87,-98,5,25,129,3,72,43,179,0.53,46.72,70,,,,,,,,,
Ryan McLaren,187,4,122,46.75,153,34,202,123,286,10,190,28.6,151,0.2,38.23,85,,,,,,,,,
Ryan Patel,7,2,10,3.5,70,-150,-2,-14,35,0,21,-,167,0.67,48.76,67,,,,,,,,,
Ryan Pringle,181,12,150,15.08,121,-27,157,78,316,12,228,26.33,139,0.07,34.05,96,,,,,,,,,
Ryan Sidebottom,3,1,6,3,50,-148,-1,-12,33,1,24,33,138,0.12,38.5,85,,,,,,,,,
Ryan Stevenson,59,4,42,14.75,140,-17,48,86,517,15,341,34.47,152,0.25,38.7,84,,,,,,,,,
Ryan ten Doeschate,1008,43,800,23.44,126,-6,1005,94,79,2,46,39.5,172,0.46,43.07,76,,,,,,,,,
Ryan Watson,1,1,3,1,33,-265,-4,-99,95,6,63,15.83,151,-0.06,32.34,101,,,,,,,,,
S McGiffin,20,1,23,20,87,-37,22,70,22,0,12,-,183,0.83,53.43,61,,,,,,,,,
S Midhun,0,0,0,-,-,-,-,-,26,0,12,-,217,1.17,61.72,53,,,,,,,,,
S Samarawickrama,111,8,118,13.88,94,-45,102,65,0,0,0,-,-,-,-,-,,,,,,,,,
S Sandeep Warrier,0,0,0,-,-,-,-,-,152,2,120,76,127,0.19,37.22,88,,,,,,,,,
SA Wisniewski,0,0,0,-,-,-,-,-,32,0,24,-,133,0.34,39.72,82,,,,,,,,,
Saad Ali,8,1,9,8,89,-78,5,40,0,0,0,-,-,-,-,-,,,,,,,,,
Saad Nasim,80,6,57,13.33,140,-22,62,81,9,0,6,-,150,0.54,44.51,73,,,,,,,,,
Sabbir Rahman,333,20,274,16.65,122,-21,303,82,0,0,0,-,-,-,-,-,,,,,,,,,
Sachin Baby,21,4,31,5.25,68,-107,8,18,0,0,0,-,-,-,-,-,,,,,,,,,
Saeed Ajmal,0,0,0,-,-,-,-,-,33,1,24,33,138,0.13,34.78,94,,,,,,,,,
Safyaan Sharif,12,0,12,-,100,0,16,98,24,2,31,12,77,-0.58,19.09,171,,,,,,,,,
Sahibzada Farhan,231,12,228,19.25,101,-28,237,77,0,0,0,-,-,-,-,-,,,,,,,,,
Saif Badar,21,4,23,5.25,91,-112,5,15,14,1,12,14,117,-0.33,25.65,127,,,,,,,,,
Saif Hassan,1,2,9,0.5,11,-217,-8,-64,1,0,1,-,100,0,31.52,103,,,,,,,,,
Saif Zaib,550,24,387,22.92,142,5,529,102,150,3,108,50,139,0.22,36.82,89,,,,,,,,,
Saim Ayub,110,7,104,15.71,106,-32,104,74,0,0,0,-,-,-,-,-,,,,,,,,,
Salman Butt,43,3,50,14.33,86,-48,42,62,0,0,0,-,-,-,-,-,,,,,,,,,
Salman Irshad,12,5,14,2.4,86,-236,-15,-78,415,23,288,18.04,144,-0.03,32.04,102,,,,,,,,,
Salman Mirza,0,0,0,-,-,-,-,-,59,2,36,29.5,164,0.32,40.54,80,,,,,,,,,
Sam Billings,2696,104,1986,25.92,136,5,2711,102,0,0,0,-,-,-,-,-,,,,,,,,,
Sam Curran,1146,52,786,22.04,146,6,1084,103,2240,92,1635,24.35,137,0.04,34.16,95,,,,,,,,,
Sam Hain,2060,55,1528,37.45,135,14,2220,108,0,0,0,-,-,-,-,-,,,,,,,,,
Sam Harper,1117,50,848,22.34,132,-3,1092,96,0,0,0,-,-,-,-,-,,,,,,,,,
Sam Heazlett,753,41,592,18.37,127,-13,700,88,15,0,6,-,250,1.47,66.88,49,,,,,,,,,
Sam Northeast,1399,49,1195,28.55,117,-6,1498,93,0,0,0,-,-,-,-,-,,,,,,,,,
Sam Pearce,11,2,13,5.5,85,-106,3,19,117,0,68,-,172,0.73,48.98,67,,,,,,,,,
Sam Rainbird,33,5,31,6.6,106,-93,12,28,449,11,301,40.82,149,0.28,39.3,83,,,,,,,,,
Sam Robson,75,3,62,25,121,-6,78,94,0,0,0,-,-,-,-,-,,,,,,,,,
Sam Whiteman,247,16,190,15.44,130,-19,214,84,0,0,0,-,-,-,-,-,,,,,,,,,
Sameen Gul,10,0,17,-,59,-36,16,71,553,22,402,25.14,138,0.06,34.12,96,,,,,,,,,
Samit Patel,1704,63,1354,27.05,126,-1,1771,97,3007,112,2411,26.85,125,-0.02,31.33,104,,,,,,,,,
Samiullah Shenwari,225,10,191,22.5,118,-12,229,89,38,0,18,-,211,1.1,58.01,56,,,,,,,,,
Samuel Badree,34,8,45,4.25,76,-130,1,1,627,19,510,33,123,0.03,32.72,100,,,,,,,,,
Samuel Conners,7,2,10,3.5,70,-150,-2,-13,343,13,200,26.38,172,0.33,42.08,77,,,,,,,,,
Samuel Cook,31,6,32,5.17,97,-119,4,10,925,38,675,24.34,137,0.05,33.4,98,,,,,,,,,
Sandeep Lamichhane,36,4,37,9,97,-68,24,48,1539,69,1239,22.3,124,-0.08,29.98,109,,,,,,,,,
Sandeep Sharma,32,4,34,8,94,-75,19,42,1761,64,1381,27.52,128,0.01,32.69,100,,,,,,,,,
Sanjay Yadav,0,1,2,0,0,-397,-5,-198,21,0,12,-,175,0.77,54.14,60,,,,,,,,,
Sanju Samson,2567,86,1796,29.85,143,15,2630,109,0,0,0,-,-,-,-,-,,,,,,,,,
Saqib Mahmood,45,5,58,9,78,-72,35,45,1173,57,798,20.58,147,0.05,33.81,96,,,,,,,,,
Sarfaraz Ahmed,1590,63,1263,25.24,126,-4,1614,95,6,0,4,-,150,0.54,44.42,73,,,,,,,,,
Sarfaraz Khan,349,17,282,20.53,124,-11,340,90,6,0,2,-,300,1.95,78.46,42,,,,,,,,,
Saurabh Tiwary,270,7,220,38.57,123,5,300,102,0,0,0,-,-,-,-,-,,,,,,,,,
Sayed Shirzad,0,0,0,-,-,-,-,-,42,0,24,-,175,0.75,49.54,66,,,,,,,,,
SC Getkate,130,11,121,11.82,107,-46,104,64,256,11,192,23.27,133,0,32.66,100,,,,,,,,,
SC Williams,267,13,217,20.54,123,-11,261,90,258,6,216,43,119,0.04,33.4,98,,,,,,,,,
Scott Boland,53,4,64,13.25,83,-51,51,60,1253,56,913,22.38,137,0.02,32.63,100,,,,,,,,,
Scott Borthwick,219,12,194,18.25,113,-23,210,80,685,22,465,31.14,147,0.19,36.81,89,,,,,,,,,
Scott Currie,7,3,13,2.33,54,-183,-7,-39,385,23,276,16.74,139,-0.1,30.12,108,,,,,,,,,
Scott Kuggeleijn,338,19,233,17.79,145,-4,296,95,1480,63,1075,23.49,138,0.04,34.1,96,,,,,,,,,
Scott Steel,906,35,736,25.89,123,-5,935,95,505,16,434,31.56,116,-0.04,31.01,105,,,,,,,,,
SD Hope,304,17,251,17.88,121,-18,286,85,0,0,0,-,-,-,-,-,,,,,,,,,
Sean Abbott,339,25,277,13.56,122,-31,278,75,1661,91,1215,18.25,137,-0.08,30.49,107,,,,,,,,,
Sean Davey,3,1,6,3,50,-147,-1,-12,56,0,48,-,117,0.18,36.49,89,,,,,,,,,
Sean Dickson,418,17,341,24.59,123,-7,425,93,0,0,0,-,-,-,-,-,,,,,,,,,
Sean Ervine,89,7,93,12.71,96,-48,78,62,0,0,0,-,-,-,-,-,,,,,,,,,
Sean Solia,491,25,433,19.64,113,-20,484,83,474,12,321,39.5,148,0.26,39.99,82,,,,,,,,,
Sean Terry,4,1,5,4,80,-140,0,-7,0,0,0,-,-,-,-,-,,,,,,,,,
Seb Gotch,364,21,353,17.33,103,-31,355,75,0,0,0,-,-,-,-,-,,,,,,,,,
Seekkuge Prasanna,299,19,225,15.74,133,-17,258,85,617,14,468,44.07,132,0.15,35.65,91,,,,,,,,,
Seth Rance,112,11,104,10.18,108,-54,81,58,1205,55,867,21.91,139,0.02,32.89,99,,,,,,,,,
SG Budinger,78,4,51,19.5,153,7,71,103,20,2,24,10,83,-0.65,16.9,193,,,,,,,,,
Shadab Jakati,0,0,0,-,-,-,-,-,46,0,30,-,153,0.52,48.93,67,,,,,,,,,
Shadab Khan,1076,61,803,17.64,134,-11,966,90,3295,149,2743,22.11,120,-0.11,29.3,111,,,,,,,,,
Shafiqullah,133,9,85,14.78,156,-7,106,93,0,0,0,-,-,-,-,-,,,,,,,,,
Shafiul Islam,5,2,9,2.5,56,-176,-4,-33,248,12,180,20.67,138,-0.01,32.63,100,,,,,,,,,
Shahbaz Ahmed,278,15,233,18.53,119,-18,264,84,461,13,330,35.46,140,0.16,36.29,90,,,,,,,,,
Shahbaz Nadeem,15,5,26,3,58,-155,-6,-18,520,18,377,28.89,138,0.1,34.53,94,,,,,,,,,
Shaheen Afridi,116,17,124,6.82,94,-87,56,33,2506,136,2075,18.43,121,-0.17,29.14,112,,,,,,,,,
Shahid Afridi,494,31,327,15.94,151,-6,411,94,1247,52,1054,23.98,118,-0.1,29.73,110,,,,,,,,,
Shahnawaz Dhani,6,1,9,6,67,-96,3,27,706,40,500,17.65,141,-0.06,31.08,105,,,,,,,,,
Shahrukh Khan,270,13,222,20.77,122,-12,265,89,0,0,0,-,-,-,-,-,,,,,,,,,
Shahzaib Hasan,19,2,16,9.5,119,-54,12,57,0,0,0,-,-,-,-,-,,,,,,,,,
Shakeel Ansar,0,1,3,0,0,-295,-5,-122,0,0,0,-,-,-,-,-,,,,,,,,,
Shakib Al Hasan,999,52,864,19.21,116,-19,971,84,1712,73,1472,23.45,116,-0.12,29.09,112,,,,,,,,,
Shamim Hossain,123,8,109,15.38,113,-29,112,76,11,0,12,-,92,-0.07,29.78,109,,,,,,,,,
Shan Masood,1552,45,1123,34.49,138,15,1647,109,0,0,0,-,-,-,-,-,,,,,,,,,
Shane Snater,60,2,42,30,143,13,61,107,369,8,228,46.12,162,0.41,43.58,75,,,,,,,,,
Shane Watson,2959,99,2165,29.89,137,11,3082,106,1182,46,855,25.7,138,0.06,34.09,96,,,,,,,,,
Shapoor Zadran,1,0,2,-,50,-46,2,64,241,9,161,26.78,150,0.17,37.03,88,,,,,,,,,
Sharafuddin Ashraf,30,4,33,7.5,91,-81,17,38,125,3,102,41.67,123,0.07,33.7,97,,,,,,,,,
Shardul Thakur,234,17,165,13.76,142,-20,183,83,2903,120,2014,24.19,144,0.09,35.34,92,,,,,,,,,
Sharjeel Khan,831,34,602,24.44,138,6,829,103,0,0,0,-,-,-,-,-,,,,,,,,,
Shashank Singh,69,4,47,17.25,147,-4,60,95,19,0,12,-,158,0.57,47.35,69,,,,,,,,,
Shaun Marsh,1768,58,1418,30.48,125,2,1889,99,0,0,0,-,-,-,-,-,,,,,,,,,
Shaun Tait,0,0,0,-,-,-,-,-,29,0,12,-,242,1.42,67.67,48,,,,,,,,,
Shawn Hicks,208,10,160,20.8,130,-7,200,93,36,0,18,-,200,0.99,55.37,59,,,,,,,,,
Sheldon Cottrell,17,4,28,4.25,61,-121,3,7,937,42,768,22.31,122,-0.09,31.96,102,,,,,,,,,
Sheldon Jackson,61,6,57,10.17,107,-55,43,57,0,0,0,-,-,-,-,-,,,,,,,,,
Sherfane Rutherford,586,27,436,21.7,134,-1,567,97,100,3,77,33.33,130,0.07,35.7,91,,,,,,,,,
Shikhar Dhawan,4356,118,3309,36.92,132,12,4740,107,0,0,0,-,-,-,-,-,,,,,,,,,
Shimron Hetmyer,1486,57,1094,26.07,136,5,1498,102,0,0,0,-,-,-,-,-,,,,,,,,,
Shivam Dube,791,34,592,23.26,134,0,779,98,368,11,235,33.45,157,0.28,39.14,83,,,,,,,,,
Shivam Mavi,51,9,56,5.67,91,-104,16,21,863,33,631,26.15,137,0.07,34.55,94,,,,,,,,,
Shivil Kaushik,0,0,0,-,-,-,-,-,103,0,66,-,156,0.57,46.04,71,,,,,,,,,
Shoaib Malik,2283,66,1709,34.59,134,11,2433,106,506,13,432,38.92,117,0.01,32.83,99,,,,,,,,,
Shohidul Islam,0,0,0,-,-,-,-,-,30,1,23,30,130,0.05,34.88,93,,,,,,,,,
Shoriful Islam,9,4,14,2.25,64,-204,-10,-54,413,24,340,17.21,121,-0.19,27.73,118,,,,,,,,,
Shreevats Goswami,51,5,42,10.2,121,-51,34,60,0,0,0,-,-,-,-,-,,,,,,,,,
Shreyas Gopal,166,11,142,15.09,117,-28,146,77,1078,39,816,27.64,132,0.04,32.83,99,,,,,,,,,
Shreyas Iyer,3051,91,2353,33.53,130,8,3271,104,7,0,6,-,117,0.21,36.49,89,,,,,,,,,
Shubman Gill,1880,59,1503,31.86,125,3,2018,100,0,0,0,-,-,-,-,-,,,,,,,,,
Siddarth Kaul,11,3,25,3.67,44,-123,2,6,1479,61,1052,24.25,141,0.06,33.68,97,,,,,,,,,
Siddhesh Lad,15,1,13,15,115,-27,14,78,0,0,0,-,-,-,-,-,,,,,,,,,
Sikandar Raza,182,15,172,12.13,106,-45,149,65,241,5,186,48.2,130,0.15,36.51,89,,,,,,,,,
Simarjeet Singh,7,1,8,7,88,-88,4,33,128,4,108,32,119,0,33.46,97,,,,,,,,,
Simi Singh,106,11,111,9.64,95,-62,77,52,418,13,315,32.15,133,0.08,33.9,96,,,,,,,,,
Simon Harmer,440,29,322,15.17,137,-18,366,85,1716,67,1352,25.61,127,-0.02,31.74,103,,,,,,,,,
Simon Milenko,271,17,220,15.94,123,-22,240,81,180,6,99,30,182,0.45,42.74,76,,,,,,,,,
Simran Singh,64,6,66,10.67,97,-55,50,57,0,0,0,-,-,-,-,-,,,,,,,,,
SM Elliott,2,1,7,2,29,-152,-1,-16,60,0,42,-,143,0.44,42.58,77,,,,,,,,,
SMA Priyanjan,54,1,62,54,87,-20,69,83,0,0,0,-,-,-,-,-,,,,,,,,,
Sohaib Maqsood,905,34,688,26.62,132,3,929,101,8,0,6,-,133,0.35,39.91,82,,,,,,,,,
Sohaibullah,0,0,0,-,-,-,-,-,25,0,18,-,139,0.41,42.72,76,,,,,,,,,
Sohail Akhtar,796,31,649,25.68,123,-4,827,95,0,0,1,-,0,-0.91,9.73,335,,,,,,,,,
Sohail Khan,99,15,108,6.6,92,-91,44,31,1064,35,727,30.4,146,0.19,37.29,87,,,,,,,,,
Sohail Tanvir,284,18,253,15.78,112,-29,258,76,1554,66,1224,23.55,127,-0.04,31.91,102,,,,,,,,,
Solomon Mire,249,8,192,31.12,130,6,265,103,111,1,72,111,154,0.46,43.98,74,,,,,,,,,
Soumya Sarkar,760,38,610,20,125,-11,733,90,320,8,207,40,155,0.32,40.55,80,,,,,,,,,
SR Thompson,146,6,94,24.33,155,17,140,111,117,2,81,58.5,144,0.31,42.51,77,,,,,,,,,
Sreenath Aravind,32,3,40,10.67,80,-63,28,51,268,5,183,53.6,146,0.31,39.95,82,,,,,,,,,
Srikar Bharat,198,7,161,28.29,123,-2,208,96,0,0,0,-,-,-,-,-,,,,,,,,,
SS Agarwal,0,0,0,-,-,-,-,-,42,1,24,42,175,0.5,43.54,75,,,,,,,,,
SS Pathirana,19,3,17,6.33,112,-94,6,28,44,2,54,22,81,-0.38,25.5,128,,,,,,,,,
SSB Magala,16,1,13,16,123,-21,14,82,119,4,84,29.75,142,0.14,38.66,84,,,,,,,,,
SSJ Brooks,64,3,49,21.33,131,-5,62,94,0,0,0,-,-,-,-,-,,,,,,,,,
ST de Silva,3,1,6,3,50,-147,-1,-12,10,0,6,-,167,0.69,48.14,68,,,,,,,,,
Stephen Murdoch,189,14,162,13.5,117,-33,159,73,0,0,0,-,-,-,-,-,,,,,,,,,
Stephen Parry,11,2,12,5.5,92,-107,3,18,356,8,294,44.5,121,0.06,33.22,98,,,,,,,,,
Steve O'Keefe,109,9,107,12.11,102,-49,88,61,1074,51,972,21.06,110,-0.2,27.46,119,,,,,,,,,
Steven Croft,1444,48,1140,30.08,127,2,1525,100,416,19,354,21.89,118,-0.13,28.91,113,,,,,,,,,
Steven Crook,230,11,151,20.91,152,9,211,104,144,0,78,-,185,0.83,53.69,61,,,,,,,,,
Steven Davies,504,30,373,16.8,135,-12,446,89,0,0,0,-,-,-,-,-,,,,,,,,,
Steven Finn,22,6,33,3.67,67,-144,-4,-9,1934,88,1327,21.98,146,0.07,33.98,96,,,,,,,,,
Steven Mullaney,732,39,506,18.77,145,-2,658,97,1254,50,918,25.08,137,0.04,32.72,100,,,,,,,,,
Steven Patterson,0,1,1,0,0,-703,-6,-426,521,25,425,20.84,123,-0.12,30.05,108,,,,,,,,,
Steven Smith,1785,54,1440,33.06,124,3,1930,100,0,0,0,-,-,-,-,-,,,,,,,,,
Stevie Eskinazi,1759,47,1251,37.43,141,19,1880,112,0,0,0,-,-,-,-,-,,,,,,,,,
Stiaan van Zyl,128,6,83,21.33,154,12,119,106,0,0,0,-,-,-,-,-,,,,,,,,,
Stuart Binny,192,12,155,16,124,-21,171,82,123,5,90,24.6,137,0.04,33.57,97,,,,,,,,,
Stuart Broad,11,0,4,-,275,172,12,226,142,6,119,23.67,119,-0.1,30.42,107,,,,,,,,,
Stuart Meaker,18,3,19,6,95,-99,6,24,165,6,126,27.5,131,0.04,34.47,95,,,,,,,,,
Stuart Poynter,532,19,413,28,129,1,548,99,0,0,0,-,-,-,-,-,,,,,,,,,
Sunil Narine,1417,88,863,16.1,164,4,1167,101,3170,130,2876,24.38,110,-0.15,28.54,114,,,,,,,,,
Suresh Raina,1800,59,1348,30.51,134,8,1886,104,213,2,150,106.5,142,0.34,40.6,80,,,,,,,,,
Suryakumar Yadav,2458,74,1743,33.22,141,17,2585,110,0,0,0,-,-,-,-,-,,,,,,,,,
Suyash Prabhudessai,67,5,58,13.4,116,-34,57,73,0,0,0,-,-,-,-,-,,,,,,,,,
Swapnil Singh,12,2,19,6,63,-98,6,25,60,1,42,60,143,0.28,38.75,84,,,,,,,,,
Syed Faridoun,6,0,5,-,120,23,8,115,36,0,24,-,150,0.51,44.85,73,,,,,,,,,
T Bavuma,501,19,407,26.37,123,-4,520,95,0,0,0,-,-,-,-,-,,,,,,,,,
T Kelly,214,9,165,23.78,130,-3,212,96,0,0,0,-,-,-,-,-,,,,,,,,,
T Marumani,115,9,119,12.78,97,-46,102,64,0,0,0,-,-,-,-,-,,,,,,,,,
T Murphy,0,0,0,-,-,-,-,-,46,1,54,46,85,-0.24,25.81,126,,,,,,,,,
T Natarajan,3,0,5,-,60,-36,5,71,1174,52,855,22.58,137,0.01,33.04,99,,,,,,,,,
Tabraiz Shamsi,6,3,23,2,26,-147,-4,-12,1351,65,1194,20.78,113,-0.18,28.02,116,,,,,,,,,
Taijul Islam,0,0,1,-,0,-91,0,30,31,0,24,-,129,0.31,39.92,82,,,,,,,,,
TAM Siriwardana,50,4,40,12.5,125,-35,39,72,12,0,6,-,200,0.97,54.8,59,,,,,,,,,
Tamim Iqbal,808,31,686,26.06,118,-7,851,92,0,0,0,-,-,-,-,-,,,,,,,,,
Tanveer Sangha,19,1,24,19,79,-42,21,66,568,36,480,15.78,118,-0.26,26.22,124,,,,,,,,,
Tarun Nethula,35,2,25,17.5,140,-8,31,92,375,17,253,22.06,148,0.07,34.76,94,,,,,,,,,
Taskin Ahmed,45,5,46,9,98,-68,29,48,414,10,302,41.4,137,0.19,37.39,87,,,,,,,,,
TB de Bruyn,7,1,6,7,117,-83,3,36,0,0,0,-,-,-,-,-,,,,,,,,,
TB Robinson,123,7,102,17.57,121,-19,114,83,0,0,0,-,-,-,-,-,,,,,,,,,
